element,r_core,r_boundary,dominant_regime,frac_damage_before_nonreturn,frac_damage_only,frac_nonreturn_before_damage,frac_coupled,frac_no_transition,mean_first_damage,mean_first_nonreturn,mean_final_damage,mean_max_r,erc_rank,model_axis
No,0.3060303680849408,0.687707643413896,nonreturn-before-damage,0.1022222222222222,0.0755555555555555,0.6622222222222223,0.0088888888888888,0.1511111111111111,2.289214659685864,2.113275862068966,18.151640126075705,3.768517563380891,77,77
Pa,0.4769373116159224,0.8817719701473422,nonreturn-before-damage,0.0933333333333333,0.0355555555555555,0.64,0.0133333333333333,0.2177777777777777,2.366477272727273,2.2471428571428573,13.800504446925606,3.430982094606859,78,78
Rg,0.9818429992495852,1.4724250255995637,nonreturn-before-damage,0.0888888888888888,0.0533333333333333,0.4933333333333333,0.0311111111111111,0.3333333333333333,2.589533333333333,2.471304347826087,7.2703263248264,2.906011694612721,79,79
Al,1.154581642247472,1.650536643435894,nonreturn-before-damage,0.0844444444444444,0.0622222222222222,0.48,0.0088888888888888,0.3644444444444444,2.663776223776224,2.517906976744186,6.041589358700607,2.800685489012566,80,80
Sr,0.8572520061665798,1.3064865712392526,nonreturn-before-damage,0.08,0.0488888888888888,0.5688888888888889,0.0044444444444444,0.2977777777777777,2.5602531645569617,2.4219047619047616,8.380794096817953,2.998646409629088,81,81
Lu,0.2760831848454674,0.621549615935984,nonreturn-before-damage,0.08,0.0577777777777777,0.7111111111111111,0.0088888888888888,0.1422222222222222,2.266010362694301,2.1015,19.14086767722887,3.8452516182050265,82,82
Cu,0.7595064657945123,1.2054734349226228,nonreturn-before-damage,0.08,0.0577777777777777,0.5688888888888889,0.0177777777777777,0.2755555555555555,2.5203680981595094,2.3679333333333337,9.428122967694993,3.084254920099513,83,83
Pu,0.4395754616889822,0.833682233856594,nonreturn-before-damage,0.0755555555555555,0.0488888888888888,0.6622222222222223,0.0133333333333333,0.2,2.3639444444444444,2.2126627218934907,14.600667090569482,3.4932884280273533,84,84
Te,1.0020013434219743,1.4739417420227914,nonreturn-before-damage,0.0755555555555555,0.0488888888888888,0.5333333333333333,0.0044444444444444,0.3377777777777778,2.59744966442953,2.473840579710145,7.110351463040487,2.892472825005291,85,85
Ti,0.6784113737352552,1.1132361414550092,nonreturn-before-damage,0.0711111111111111,0.0577777777777777,0.6,0.0177777777777777,0.2533333333333333,2.488035714285714,2.33683870967742,10.445905516869736,3.1662340904634343,86,86
Fe,0.6205926393308565,1.009040232143908,nonreturn-before-damage,0.0622222222222222,0.0444444444444444,0.64,0.0088888888888888,0.2444444444444444,2.4501176470588235,2.3036875,11.272135500882058,3.2321037390619263,87,87
Np,0.4917388763767141,0.8793454182888583,nonreturn-before-damage,0.0622222222222222,0.0311111111111111,0.6755555555555556,0.0088888888888888,0.2222222222222222,2.369828571428572,2.2469642857142857,13.502066641862427,3.407684043834148,88,88
Db,0.6001262259392203,0.9843031953736116,nonreturn-before-damage,0.0577777777777777,0.0355555555555555,0.6577777777777778,0.0044444444444444,0.2444444444444444,2.430058823529412,2.294567901234568,11.587690428781176,3.257131637583166,89,89
Eu,0.3386637901145258,0.6828927395791744,nonreturn-before-damage,0.0577777777777777,0.0711111111111111,0.7155555555555555,0.0,0.1555555555555555,2.3245789473684213,2.113735632183908,17.165485070963573,3.692134124711844,90,90
Tm,0.3907194064042608,0.7519994325073468,nonreturn-before-damage,0.0533333333333333,0.0488888888888888,0.7022222222222222,0.0133333333333333,0.1822222222222222,2.3396195652173915,2.169421965317919,15.76088618499826,3.583339013915745,91,91
Re,0.7597368234057191,1.163290730773282,nonreturn-before-damage,0.0488888888888888,0.0488888888888888,0.6266666666666667,0.0,0.2755555555555555,2.520429447852761,2.3567763157894737,9.425439912105388,3.0840373183757896,92,92
Ta,0.6865583710535321,1.0720796838154107,nonreturn-before-damage,0.0444444444444444,0.0488888888888888,0.6488888888888888,0.0,0.2577777777777778,2.4841916167664677,2.318717948717949,10.33664871701054,3.1574800857880017,93,93
Co,0.6144992710615976,0.9831917498540677,nonreturn-before-damage,0.04,0.0355555555555555,0.6711111111111111,0.0088888888888888,0.2444444444444444,2.4437647058823533,2.295308641975309,11.364741302081232,3.23945700218843,94,94
Pr,0.4714237178994024,0.7995518391435115,nonreturn-before-damage,0.0355555555555555,0.04,0.7155555555555555,0.0,0.2088888888888889,2.3837078651685397,2.1890532544378702,13.914275012403325,3.43985476157609,95,95
Bi,0.9102163755494888,1.292406657987019,nonreturn-before-damage,0.0311111111111111,0.0311111111111111,0.6222222222222222,0.0,0.3155555555555555,2.56974025974026,2.4170068027210885,7.881368732675801,2.9572581159585583,96,96
Gd,0.2902979114285478,0.600207240137542,nonreturn-before-damage,0.0311111111111111,0.0444444444444444,0.7777777777777778,0.0,0.1466666666666666,2.2747916666666668,2.094395604395604,18.660506963259174,3.8079728892176417,97,97
La,0.5617646690358337,0.8572520061665798,nonreturn-before-damage,0.0311111111111111,0.0177777777777777,0.7155555555555555,0.0,0.2355555555555555,2.4094767441860467,2.236488095238095,12.215518365441037,3.306742319734333,98,98
Y,0.5271756263636528,0.8231905381574744,nonreturn-before-damage,0.0266666666666666,0.0222222222222222,0.7155555555555555,0.0088888888888888,0.2266666666666666,2.3920689655172414,2.214497041420118,12.826526557458088,3.354792642870537,99,99
Yb,0.5767538451163443,0.8983711251636705,nonreturn-before-damage,0.0266666666666666,0.0311111111111111,0.7066666666666667,0.0,0.2355555555555555,2.424186046511628,2.248727272727273,11.964314737184496,3.2869208025134524,100,100
Xe,1.995379755294524,2.440464152271039,no-transition,0.0222222222222222,0.04,0.3955555555555555,0.0044444444444444,0.5377777777777778,2.893365384615385,2.729578947368421,2.72525594316673,2.4952759609276494,101,101
Zr,0.6206604826936103,0.9292629006735575,nonreturn-before-damage,0.0222222222222222,0.0266666666666666,0.7066666666666667,0.0,0.2444444444444444,2.4502352941176477,2.2691463414634145,11.271110704168336,3.2320223368357324,102,102
Tc,0.6346958015272409,0.9776105373284648,nonreturn-before-damage,0.0222222222222222,0.0311111111111111,0.6933333333333334,0.0044444444444444,0.2488888888888888,2.452426035502959,2.292901234567901,11.062011189036427,3.215400436686057,103,103
Po,0.9806163185436048,1.3605584674328417,nonreturn-before-damage,0.0222222222222222,0.0266666666666666,0.6133333333333333,0.0044444444444444,0.3333333333333333,2.5882666666666667,2.444930555555556,7.280221679307038,2.906847725992887,104,104
Og,4.95068323614085,5.491978768637273,no-transition,0.0177777777777777,0.0177777777777777,0.0311111111111111,0.0,0.9333333333333332,3.598,3.489090909090909,0.0733298150117086,2.163289444029668,105,105
Sm,0.3761158764886654,0.687707643413896,nonreturn-before-damage,0.0177777777777777,0.0577777777777777,0.7466666666666667,0.0088888888888888,0.1688888888888889,2.348930481283422,2.1216666666666666,16.135947319763304,3.612403122700072,106,106
Dy,0.3386637901145258,0.5888373318755177,nonreturn-before-damage,0.0133333333333333,0.0355555555555555,0.7955555555555556,0.0,0.1555555555555555,2.3245789473684213,2.090934065934066,17.165485070963573,3.692134124711844,107,107
Cm,0.3326103666222197,0.5813264028332392,nonreturn-before-damage,0.0133333333333333,0.0355555555555555,0.7955555555555556,0.0,0.1555555555555555,2.3152631578947367,2.081978021978022,17.341756252835996,3.7057837070454047,108,108
Tb,0.3309705956375594,0.5875887457768211,nonreturn-before-damage,0.0133333333333333,0.0355555555555555,0.7955555555555556,0.0,0.1555555555555555,2.3130526315789472,2.088186813186813,17.39001121273526,3.7095204289938586,109,109
Ag,0.9591089700417812,1.2697599662591654,nonreturn-before-damage,0.0044444444444444,0.0222222222222222,0.6488888888888888,0.0,0.3244444444444444,2.5867763157894736,2.4051700680272114,7.456802319675461,2.9217300795711987,110,110
Pm,0.4024173061157568,0.6951694648644924,nonreturn-before-damage,0.0044444444444444,0.0444444444444444,0.7644444444444445,0.0044444444444444,0.1822222222222222,2.354673913043478,2.131149425287356,15.470269038160968,3.5608050522265,111,111
Hf,0.482319691319871,0.7025643705366755,nonreturn-before-damage,0.0,0.0133333333333333,0.7688888888888888,0.0,0.2177777777777777,2.3728409090909093,2.136878612716763,13.69081513289645,3.4224233790537686,112,112
Ac,0.5544927243134349,0.7876857603283991,nonreturn-before-damage,0.0,0.0133333333333333,0.7511111111111111,0.0,0.2355555555555555,2.4025000000000003,2.187159763313609,12.340260759002987,3.316569914099756,113,113
He,6.321171661207159,7.090996872908425,no-transition,0.0,0.0,0.0,0.0,1.0,,,1.975012395954737e-05,2.105071272891628,114,114
Pd,0.9508920642977472,1.190768980106264,nonreturn-before-damage,0.0,0.0088888888888888,0.6666666666666666,0.0,0.3244444444444444,2.579868421052632,2.3724000000000003,7.525862026156896,2.927532204395679,115,115
Rf,0.4646445036530341,0.6136167140344032,nonreturn-before-damage,0.0,0.0177777777777777,0.7733333333333333,0.0,0.2,2.373876404494382,2.076988636363636,14.056149145212167,3.450910745281646,116,116
Sc,0.7995518391435115,1.0938158890950649,nonreturn-before-damage,0.0,0.0311111111111111,0.6844444444444444,0.0,0.2844444444444444,2.539006211180124,2.323766233766234,8.977621143102745,3.047607463264512,117,117
Th,0.4283925194842697,0.5617867486249086,nonreturn-before-damage,0.0,0.0088888888888888,0.7955555555555556,0.0,0.1822222222222222,2.3613259668508286,2.0736263736263734,14.854194831303044,3.512990381774644,118,118
